courseId,courseSlug,moduleId,lessonId,blockId,order,blockType,uiBlockLabel,blockTitle,linkedOutcomeId,learningFunction,indicatorId,blockPurpose,expectedLearnerAction,required,estimatedDurationMinutes,copyPasteMainContent,configJson,assetPathOrUrl,altText,caption,resourceDownloadLabel,knowledgeCheckCorrectAnswer,feedbackOrLearningPoint,accessibilityNotes,importNotes
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-02,LES-HRBA-ADV-02-01,BLK-HRBA-ADV-011,11,BRANCHING_SCENARIO,Branching Scenario,Choosing a safer first step,LO-HRBA-ADV-03,PRACTICE,IND-ADV-MSG-01,Strategic decision practice,Choose a safe and rights-based first advocacy step from realistic alternatives.,TRUE,8,"Your CSO has credible community feedback that women in a rural kebele are not accessing a public service. Some women say they fear being identified if the issue is raised publicly. A local official is sensitive to criticism, but there is an upcoming woreda planning discussion where service access can be raised constructively. Your team must decide the safest and most rights-based first advocacy step.","{""title"": ""Choosing a safer first step"", ""scenario"": ""Your CSO has credible community feedback that women in a rural kebele are not accessing a public service. Some women say they fear being identified if the issue is raised publicly. A local official is sensitive to criticism, but there is an upcoming woreda planning discussion where service access can be raised constructively. Your team must decide the safest and most rights-based first advocacy step."", ""decisionPrompt"": ""What should your CSO do first?"", ""options"": [{""id"": ""A"", ""label"": ""Publish names and testimonies online to create pressure."", ""consequence"": ""This may create public attention, but it exposes affected women, risks retaliation, and violates confidentiality. It is not a safe HRBA advocacy step."", ""quality"": ""unsafe"", ""feedback"": ""Avoid this. Rights-based advocacy must protect rights holders and use evidence responsibly.""}, {""id"": ""B"", ""label"": ""Withdraw completely because the issue is sensitive."", ""consequence"": ""This reduces immediate risk, but it also leaves the access barrier unaddressed. Sensitivity should lead to safer strategy, not automatic silence."", ""quality"": ""weak"", ""feedback"": ""This is cautious but incomplete. A better response looks for a safe, constructive, consent-aware engagement route.""}, {""id"": ""C"", ""label"": ""Prepare an anonymized evidence summary, confirm consent boundaries, and request a constructive discussion with the relevant duty bearer."", ""consequence"": ""This protects affected people, uses credible evidence, identifies the duty bearer, and keeps advocacy focused on problem-solving. It is the strongest first step."", ""quality"": ""best"", ""feedback"": ""Correct. This balances evidence, participation, accountability, and do-no-harm.""}, {""id"": ""D"", ""label"": ""Publicly accuse the official of ignoring women’s rights during the planning meeting."", ""consequence"": ""This may sound rights-based, but it can increase defensiveness and risk if the evidence is not framed safely. It may close the space for dialogue."", ""quality"": ""risky"", ""feedback"": ""Be careful. HRBA advocacy can be firm, but it should remain evidence-informed, safe, and strategic.""}], ""bestOptionId"": ""C"", ""learningPoint"": ""Safe advocacy starts with participation, consent, confidentiality, and careful use of evidence. The strongest first step is often not the loudest message, but the one that protects people while opening a realistic accountability pathway."", ""retryAllowed"": true, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-03"", ""learningFunction"": ""PRACTICE"", ""indicatorId"": ""IND-ADV-MSG-01"", ""secondaryIndicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Choose a safe and rights-based first advocacy step from realistic alternatives.""}}",,,,,C,"Safe advocacy starts with participation, consent, confidentiality, and careful use of evidence. The strongest first step is often not the loudest message, but the one that protects people while opening a realistic accountability pathway.",Choices and feedback must be readable as text. Avoid relying only on color to mark best/risky options.,Use this enhanced strategic decision scenario. It is the main scenario block of the course.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-02,LES-HRBA-ADV-02-01,BLK-HRBA-ADV-012,12,PRACTICAL_ACTIVITY,Practical Activity,Draft your advocacy objective,LO-HRBA-ADV-03,PRODUCE,IND-ADV-MSG-01,Applied output,Draft one HRBA advocacy objective for a real or realistic CSO issue.,TRUE,8,Draft one HRBA advocacy objective for an issue your CSO wants to address.,"{""title"": ""Draft your advocacy objective"", ""instruction"": ""Draft one HRBA advocacy objective for an issue your CSO wants to address."", ""expectedOutput"": ""One sentence that identifies the affected group, expected change, responsible duty bearer, and safe advocacy focus."", ""estimatedTimeMinutes"": 8, ""guidance"": ""Use a real issue only if you can anonymize details. Do not include names or sensitive personal information."", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-03"", ""learningFunction"": ""PRODUCE"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Draft a focused advocacy objective.""}}",,,,,,"A strong objective is specific, safe, realistic, and rights-based.",Activity should be usable offline.,Phase 1 practice only; no proof submission workflow.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-02,LES-HRBA-ADV-02-02,BLK-HRBA-ADV-013,13,RESOURCE,Resource,Stakeholder and Duty-Bearer Mapping Template,LO-HRBA-ADV-04,SUPPORT_ACCESS,IND-ADV-SAFE-02,Downloadable template,Download or open the stakeholder and duty-bearer mapping template.,TRUE,2,Stakeholder and Duty-Bearer Mapping Template,"{""title"": ""Stakeholder and Duty-Bearer Mapping Template"", ""description"": ""A simple worksheet for identifying rights holders, duty bearers, allies, influence, risks, and safe engagement steps."", ""sourceType"": ""uploaded_file"", ""sourceUrl"": ""/assets/demo/hrba-advocacy/resources/Stakeholder-And-Duty-Bearer-Mapping-Template.pdf"", ""resourceType"": ""template"", ""fileName"": ""Stakeholder-And-Duty-Bearer-Mapping-Template.pdf"", ""buttonLabel"": ""Download mapping template"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-04"", ""learningFunction"": ""SUPPORT_ACCESS"", ""indicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Use a template to map stakeholders and risks.""}}",/assets/demo/hrba-advocacy/resources/Stakeholder-And-Duty-Bearer-Mapping-Template.pdf,,,Download mapping template,,,Button label must be descriptive. PDF should be accessible/printable where possible.,Create as Resource block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-02,LES-HRBA-ADV-02-02,BLK-HRBA-ADV-014,14,IMAGE,Image,Stakeholder mapping workshop,LO-HRBA-ADV-04,INVESTIGATE,IND-ADV-SAFE-02,Visual example,"Observe how mapping helps identify duty bearers, allies, and risks.",TRUE,2,/assets/demo/hrba-advocacy/images/stakeholder-mapping-workshop.jpg,"{""title"": ""Stakeholder mapping workshop"", ""imageUrl"": ""/assets/demo/hrba-advocacy/images/stakeholder-mapping-workshop.jpg"", ""altText"": ""CSO team arranging stakeholder cards on a wall during an advocacy planning exercise."", ""caption"": ""Mapping helps a CSO think before acting: who is affected, who can respond, who may support, and where risk may appear."", ""displaySize"": ""wide"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-04"", ""learningFunction"": ""INVESTIGATE"", ""indicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Interpret stakeholder mapping as a risk-aware planning practice.""}}",/assets/demo/hrba-advocacy/images/stakeholder-mapping-workshop.jpg,CSO team arranging stakeholder cards on a wall during an advocacy planning exercise.,"Mapping helps a CSO think before acting: who is affected, who can respond, who may support, and where risk may appear.",,,,Alt text required.,Create as Image block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-02,LES-HRBA-ADV-02-02,BLK-HRBA-ADV-015,15,ACCORDION,Accordion,Stakeholder mapping questions,LO-HRBA-ADV-04,APPLY,IND-ADV-SAFE-02,Planning questions,Use guiding questions to map advocacy actors and risks.,TRUE,4,Who is affected? Who has responsibility? Who can influence? What risks should be checked?,"{""title"": ""Stakeholder mapping questions"", ""items"": [{""title"": ""Who is affected?"", ""body"": ""Identify the rights holders and groups at risk of exclusion.""}, {""title"": ""Who has responsibility?"", ""body"": ""Identify duty bearers with formal or practical responsibility to respond.""}, {""title"": ""Who can influence?"", ""body"": ""Identify allies, community leaders, networks, or institutions that can support constructive engagement.""}, {""title"": ""What risks should be checked?"", ""body"": ""Consider confidentiality, consent, backlash, civic-space sensitivity, and whether the issue can be raised safely.""}], ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-04"", ""learningFunction"": ""APPLY"", ""indicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Use questions to guide stakeholder and risk mapping.""}}",,,,,,,Accordion controls must be keyboard accessible.,Create as Accordion block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-02,LES-HRBA-ADV-02-02,BLK-HRBA-ADV-016,16,KNOWLEDGE_CHECK,Knowledge Check,Mapping check,LO-HRBA-ADV-04,ASSESS,IND-ADV-SAFE-02,Low-stakes check,Identify which actor is most likely to be a duty bearer.,TRUE,3,Which actor is most likely to be a duty bearer in a local education access advocacy issue?,"{""question"": ""Which actor is most likely to be a duty bearer in a local education access advocacy issue?"", ""options"": [{""id"": ""A"", ""text"": ""A donor consultant""}, {""id"": ""B"", ""text"": ""A community volunteer with no formal responsibility""}, {""id"": ""C"", ""text"": ""The local education office or school administration with responsibility for access""}, {""id"": ""D"", ""text"": ""A random social media user""}], ""correctOptionId"": ""C"", ""correctFeedback"": ""Correct. A duty bearer has responsibility or authority to act on the issue."", ""incorrectFeedback"": ""Not quite. Look for the actor with responsibility or authority to respond to the rights-related issue."", ""allowRetry"": true, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-04"", ""learningFunction"": ""ASSESS"", ""indicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Identify duty bearer responsibility.""}}",,,,,C,A duty bearer has responsibility or authority to act on the issue.,Feedback must be text-based.,Create as Knowledge Check block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-03,LES-HRBA-ADV-03-01,BLK-HRBA-ADV-017,17,VIDEO,Video,HRBA advocacy message in five minutes,LO-HRBA-ADV-05,EXPLAIN,IND-ADV-MSG-01,Trainer explanation,Watch or read how to build a concise HRBA advocacy message.,TRUE,5,https://example.com/hrba-advocacy-message-video,"{""title"": ""HRBA advocacy message in five minutes"", ""sourceType"": ""external_link"", ""sourceUrl"": ""https://example.com/hrba-advocacy-message-video"", ""description"": ""Short explainer on connecting issue, affected group, evidence, rights concern, duty bearer, and practical ask."", ""durationMinutes"": 5, ""transcript"": ""In this short video, we explain how a rights-based advocacy message connects a clear issue, the affected people, safe evidence, the relevant duty bearer, and one practical ask. The message should be specific, constructive, and careful not to expose people to harm."", ""captionsAvailable"": false, ""thumbnailUrl"": """", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-05"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Understand the structure of a safe advocacy message.""}}",https://example.com/hrba-advocacy-message-video,,Transcript available.,,,,Transcript included. Replace demo URL with approved video URL when available.,Use external_link unless embed URL is approved.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-03,LES-HRBA-ADV-03-01,BLK-HRBA-ADV-018,18,TEXT,Text,Building a clear advocacy message,LO-HRBA-ADV-05,EXPLAIN,IND-ADV-MSG-01,Message structure,Use a simple structure to draft an advocacy message.,TRUE,4,"A clear advocacy message should answer four questions: What is the issue? Who is affected? What evidence can be safely used? What practical action is requested from the duty bearer? Keep the message specific, respectful, and focused on problem solving. Avoid names, sensitive details, or claims that cannot be supported.","{""heading"": ""Building a clear advocacy message"", ""body"": ""A clear advocacy message should answer four questions: What is the issue? Who is affected? What evidence can be safely used? What practical action is requested from the duty bearer? Keep the message specific, respectful, and focused on problem solving. Avoid names, sensitive details, or claims that cannot be supported."", ""readingTimeMinutes"": 4, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-05"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Apply a simple advocacy message structure.""}}",,,,,,,Keep message structure visible and concise.,Create as Text block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-03,LES-HRBA-ADV-03-01,BLK-HRBA-ADV-019,19,PRACTICAL_ACTIVITY,Practical Activity,Draft one advocacy message,LO-HRBA-ADV-05,PRODUCE,IND-ADV-MSG-01,Practice output,Write one advocacy message using the course structure.,TRUE,8,"Write one advocacy message using this structure: issue, affected group, evidence, rights concern, duty bearer, and practical ask.","{""title"": ""Draft one advocacy message"", ""instruction"": ""Write one advocacy message using this structure: issue, affected group, evidence, rights concern, duty bearer, and practical ask."", ""expectedOutput"": ""One short advocacy message of 3–5 sentences."", ""estimatedTimeMinutes"": 8, ""guidance"": ""Use anonymized or fictionalized details. Do not include names, identifying locations, or sensitive testimony."", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-05"", ""learningFunction"": ""PRODUCE"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Produce a short advocacy message.""}}",,,,,,"A strong advocacy message is specific, evidence-informed, safe, and action-oriented.",Activity can be completed offline in a notebook or worksheet.,Practice activity only; no upload/proof workflow.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-03,LES-HRBA-ADV-03-02,BLK-HRBA-ADV-020,20,CASE_STUDY,Case Study,When advocacy creates risk,LO-HRBA-ADV-05,INVESTIGATE,IND-ADV-SAFE-02,Risk case,Analyze how community evidence can be used without exposing people to harm.,TRUE,5,"A CSO plans to advocate for improved local service access using testimonies from community members. Some testimonies include names, locations, and sensitive personal details. The team wants the message to be powerful, but it also wants to protect people from harm.","{""title"": ""When advocacy creates risk"", ""context"": ""A practical safety dilemma for HRBA advocacy."", ""scenario"": ""A CSO plans to advocate for improved local service access using testimonies from community members. Some testimonies include names, locations, and sensitive personal details. The team wants the message to be powerful, but it also wants to protect people from harm."", ""guidingQuestion"": ""How can the CSO use community evidence while protecting people from harm?"", ""learningPoint"": ""Safe advocacy uses consent, anonymization, careful messaging, and risk review before information is shared publicly or with duty bearers."", ""discussionQuestion"": ""What information should be removed or generalized before the issue is raised?"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-05"", ""learningFunction"": ""INVESTIGATE"", ""indicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Identify safer evidence-use choices.""}}",,,,,,"Safe advocacy uses consent, anonymization, careful messaging, and risk review.",Avoid distressing details. Keep case fictional and safe.,Create as Case Study block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-03,LES-HRBA-ADV-03-02,BLK-HRBA-ADV-021,21,REFLECTION_PROMPT,Reflection,Before you advocate,LO-HRBA-ADV-05,REFLECT,IND-ADV-SAFE-02,Barrier capture,Identify one risk and one support need before advocacy engagement.,TRUE,4,"What is one risk your organization should check before raising an advocacy issue, and what support would help make the advocacy safer?","{""title"": ""Before you advocate"", ""prompt"": ""What is one risk your organization should check before raising an advocacy issue, and what support would help make the advocacy safer?"", ""guidanceText"": ""Think about confidentiality, consent, backlash, exclusion, and whether the issue needs team or leadership discussion before action."", ""responseRequired"": false, ""privateToParticipant"": true, ""barrierCaptureEnabled"": true, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-05"", ""learningFunction"": ""REFLECT"", ""indicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Identify advocacy risk and follow-up support need.""}}",,,,,,,Private by default if responses are stored.,Create as Reflection block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-03,LES-HRBA-ADV-03-02,BLK-HRBA-ADV-022,22,KEY_MESSAGE,Key Message,Safe advocacy is part of rights-based practice,LO-HRBA-ADV-05,EXPLAIN,IND-ADV-SAFE-02,Final takeaway,"Remember that do-no-harm is part of HRBA advocacy, not an optional extra.",TRUE,2,Advocacy should not put rights holders at unnecessary risk. A rights-based approach protects people while seeking accountability and practical change.,"{""message"": ""Advocacy should not put rights holders at unnecessary risk. A rights-based approach protects people while seeking accountability and practical change."", ""supportingText"": ""When in doubt, review consent, confidentiality, and the safest engagement route before acting."", ""tone"": ""warning"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-05"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-SAFE-02"", ""expectedLearnerAction"": ""Apply do-no-harm as part of advocacy practice.""}}",,,,,,,Warning must include text label; not color-only.,Create as Key Message block. Tone: warning/info.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-03,LES-HRBA-ADV-03-02,BLK-HRBA-ADV-023,23,RESOURCE,Resource,HRBA Advocacy Planning Checklist,LO-HRBA-ADV-05,SUPPORT_ACCESS,IND-ADV-MSG-01,Downloadable checklist,Download or open the checklist and use it to prepare an advocacy action outline.,TRUE,2,HRBA Advocacy Planning Checklist,"{""title"": ""HRBA Advocacy Planning Checklist"", ""description"": ""A practical checklist for preparing a rights-based advocacy action outline, including issue, rights holders, duty bearers, evidence, risk, message, and next step."", ""sourceType"": ""uploaded_file"", ""sourceUrl"": ""/assets/demo/hrba-advocacy/resources/HRBA-Advocacy-Planning-Checklist.pdf"", ""resourceType"": ""template"", ""fileName"": ""HRBA-Advocacy-Planning-Checklist.pdf"", ""buttonLabel"": ""Download advocacy checklist"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-05"", ""learningFunction"": ""SUPPORT_ACCESS"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Use checklist to prepare action outline.""}}",/assets/demo/hrba-advocacy/resources/HRBA-Advocacy-Planning-Checklist.pdf,,,Download advocacy checklist,,,Button label must be descriptive. PDF should be printable and accessible where possible.,Final resource block.
